Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Recommended_Fertilizer,,
8.44,55,16,16,15.51,75.02,2739.77,Cotton,Sowing,Urea,,
5.34,136,39,89,37.16,40.2,2760.85,Wheat,Sowing,DAP,,
5.02,64,42,19,32.26,58.21,1172.38,Maize,Harvest,MOP,,
5.31,30,47,38,37.98,78.44,1092.21,Maize,Flowering,Urea,,
7.58,86,28,103,36.37,88.01,1437.32,Tomato,Flowering,DAP,,
6.2,117,18,93,26.48,67.35,2063.91,Rice,Vegetative,DAP,,
6.76,109,41,115,14.57,68.29,213.97,Maize,Flowering,NPK,,
4.58,132,39,43,16.64,58.16,1696.91,Maize,Sowing,DAP,,
4.64,109,15,81,16.05,62.34,255.25,Tomato,Vegetative,DAP,,
6.28,108,70,107,16.62,35.94,1461.89,Sugarcane,Harvest,DAP,,
7.77,30,46,107,24.29,50.98,430.38,Tomato,Flowering,Urea,,
8.04,99,88,54,36.03,60.44,1774.21,Tomato,Harvest,Zinc Sulphate,,
4.85,103,80,109,10.69,46.5,1079.97,Potato,Harvest,Compost,,
6.65,125,87,80,17.15,51.59,1540.96,Tomato,Vegetative,NPK,,
8.15,135,29,67,27.9,88.27,2881.54,Rice,Vegetative,DAP,,
6.05,21,39,87,35.96,30.31,1154.71,Potato,Flowering,Urea,,
7.82,73,27,93,18.92,48.16,2213.99,Sugarcane,Sowing,DAP,,
5.03,112,72,110,21.48,65.04,2113.23,Wheat,Flowering,Compost,,
8.24,26,70,42,21.2,46.74,2633,Tomato,Vegetative,Urea,,
7.51,59,66,104,18.81,70.59,1136.35,Cotton,Sowing,Urea,,
8.27,64,31,106,30.96,47.96,357.02,Maize,Harvest,DAP,,
7.21,151,58,99,29.67,68.29,2917.77,Maize,Sowing,NPK,,
5.95,126,27,99,35.3,80.99,1214.6,Tomato,Flowering,DAP,,
8.25,53,70,60,37.53,69.52,742.47,Sugarcane,Vegetative,Urea,,
5.6,27,87,73,37.01,32.99,2759.48,Tomato,Sowing,Urea,,
5.83,51,77,47,26.2,77.71,733.71,Potato,Vegetative,Urea,,
7.3,94,16,89,15.57,42.77,1680.52,Maize,Vegetative,DAP,,
7.56,56,16,21,16.66,68.09,2315.4,Cotton,Sowing,Urea,,
8.22,55,74,72,27.71,68.8,2246.84,Rice,Flowering,Urea,,
5.32,29,49,74,37.55,78.22,282.5,Sugarcane,Sowing,Urea,,
7.69,89,33,69,25.91,60.35,766.82,Maize,Sowing,DAP,,
7.45,137,41,117,38.07,52.56,2687.78,Cotton,Flowering,Compost,,
4.76,114,19,29,17.87,61.08,1748.91,Maize,Flowering,DAP,,
6.05,91,18,75,12.59,62.75,2124.22,Maize,Vegetative,DAP,,
5.63,142,48,104,33.89,79.29,1326.42,Rice,Vegetative,NPK,,
5.72,80,12,27,36.38,42.3,2286.57,Sugarcane,Vegetative,DAP,,
8.43,55,78,51,23.44,80.81,1009.47,Potato,Vegetative,Urea,,
7.07,57,16,83,13.07,51.94,849.69,Tomato,Harvest,Urea,,
7.37,123,21,15,11.27,74.63,2991.91,Sugarcane,Vegetative,DAP,,
8.41,111,32,75,11.88,50.14,641.42,Cotton,Vegetative,DAP,,
6.01,25,72,89,23.17,72.53,2947.81,Tomato,Flowering,Urea,,
7.71,152,26,78,17.04,77.95,2794.23,Tomato,Harvest,DAP,,
6.24,111,87,111,23.86,63.48,2201.09,Potato,Sowing,Zinc Sulphate,,
7.98,20,73,95,24.65,67.17,1829.52,Potato,Harvest,Urea,,
5.22,33,74,31,23.74,72.47,212.68,Sugarcane,Vegetative,Urea,,
8.29,102,37,31,28.6,71.31,1978.8,Wheat,Harvest,DAP,,
5.38,50,67,74,30.38,73.64,2362.75,Rice,Harvest,Urea,,
5.8,140,27,109,21.88,80.98,2252.05,Maize,Flowering,DAP,,
7.52,98,53,58,20.11,43.23,681.78,Sugarcane,Sowing,Urea,,
6.08,121,73,86,21.05,42.88,1724.69,Wheat,Vegetative,NPK,,
6.93,51,46,21,12.11,88.24,1740.55,Sugarcane,Flowering,Urea,,
6.28,76,12,72,19.65,81.08,2028.07,Tomato,Harvest,DAP,,
7.47,50,23,22,16,65.5,2526.65,Tomato,Flowering,Urea,,
5.41,77,16,71,18.73,30.49,2155.05,Maize,Harvest,DAP,,
4.73,67,26,68,31.43,81.29,595.66,Sugarcane,Harvest,DAP,,
5.7,142,79,20,39.66,75.1,253.29,Maize,Sowing,MOP,,
6.4,60,88,91,37.71,87.38,582.44,Potato,Harvest,Zinc Sulphate,,
5.17,140,48,95,34.65,30.79,312.79,Cotton,Harvest,Compost,,
5.92,80,14,10,32.12,31.71,1422.97,Sugarcane,Sowing,DAP,,
6.1,151,88,77,38.35,61.05,994.51,Rice,Flowering,Zinc Sulphate,,
4.73,139,61,18,32.56,81.36,220.47,Maize,Vegetative,MOP,,
6.83,115,35,12,24.13,89.48,424.78,Potato,Vegetative,DAP,,
8.04,131,48,81,28.04,49.2,1313.12,Rice,Flowering,Zinc Sulphate,,
5.11,60,54,18,19.17,32.18,2831.33,Cotton,Sowing,MOP,,
6.89,45,86,91,10.1,41.73,2985.44,Rice,Flowering,Urea,,
7.16,38,40,78,20.61,82.62,340.34,Rice,Vegetative,Urea,,
6.18,106,86,31,22.14,57.99,2525.62,Tomato,Flowering,MOP,,
7.3,44,32,110,31.99,81.2,1544.72,Cotton,Flowering,Urea,,
6.14,66,49,78,35.78,56.63,1938.92,Potato,Vegetative,NPK,,
6.52,27,41,32,38.88,33.2,1616.71,Sugarcane,Flowering,Urea,,
4.53,22,13,89,20.55,67.05,2788.62,Cotton,Sowing,Urea,,
7.27,52,55,14,38.72,56.14,1539.76,Wheat,Vegetative,Urea,,
7.15,131,84,110,33.98,59.48,670.32,Maize,Vegetative,NPK,,
4.65,41,51,117,10.93,86.94,2383.59,Tomato,Vegetative,Urea,,
5.97,118,48,48,27.86,57.42,1638.57,Potato,Flowering,MOP,,
8.42,117,79,12,20.97,77.79,527.79,Potato,Vegetative,MOP,,
6.18,49,65,35,11.02,33.53,1492.46,Maize,Sowing,Urea,,
6.51,66,56,17,25.95,58.74,2124.71,Potato,Harvest,MOP,,
8.14,78,47,94,27.54,65.2,1028.35,Potato,Flowering,Zinc Sulphate,,
7.37,33,27,61,17.57,36.79,2753.53,Sugarcane,Flowering,Urea,,
6.83,92,11,91,38.2,48.13,2579.88,Potato,Sowing,DAP,,
7.69,124,63,78,28.31,74.38,1790.11,Cotton,Sowing,SSP,,
7.96,33,39,15,15.28,41.03,352.24,Tomato,Vegetative,Urea,,
6.33,68,13,36,31.64,37.71,1833.14,Maize,Flowering,DAP,,
6.4,22,16,95,24.97,47.96,1363.69,Maize,Vegetative,Urea,,
6.04,42,88,31,24.2,81.54,2227.39,Potato,Flowering,Urea,,
8.37,128,66,111,35.04,75.78,947.69,Potato,Harvest,Zinc Sulphate,,
7.29,62,39,65,14.15,76.61,1896.14,Rice,Flowering,DAP,,
4.83,90,53,111,24.73,49.35,1752.42,Cotton,Sowing,Compost,,
7.95,74,86,52,33.42,35.94,1675.18,Rice,Vegetative,Zinc Sulphate,,
6.42,145,38,36,29.81,31.92,524.55,Wheat,Flowering,DAP,,
4.78,101,45,54,10.16,65.17,1571.68,Wheat,Vegetative,Compost,,
6.7,60,57,55,33.62,72.14,1741.74,Wheat,Flowering,NPK,,
6.17,150,28,42,38.34,52.67,2797.44,Sugarcane,Vegetative,DAP,,
8.01,22,72,115,31.14,61.73,1490.42,Tomato,Flowering,Urea,,
5.32,119,11,104,36.28,46.74,1991.62,Tomato,Vegetative,DAP,,
7.81,42,23,37,20.82,51.86,1793.89,Cotton,Harvest,Urea,,
6.73,146,89,103,20.52,73.79,746.69,Sugarcane,Harvest,Zinc Sulphate,,
4.72,77,44,107,19.63,73.09,716.35,Wheat,Vegetative,Compost,,
8.39,137,30,118,32.05,31.69,2270.31,Potato,Sowing,DAP,,
6.55,136,26,90,38.26,86.65,1664.58,Sugarcane,Vegetative,DAP,,
5.66,101,41,60,36.56,46.14,2708.89,Maize,Harvest,MOP,,
6.38,121,32,73,14.51,84.46,2742.83,Sugarcane,Sowing,DAP,,
7.93,153,15,44,28.78,60.71,1031.81,Tomato,Sowing,DAP,,
5.72,127,38,45,39.88,59.95,484.28,Cotton,Vegetative,DAP,,
5.27,65,72,15,18.86,57.04,1163.43,Rice,Harvest,MOP,,
5.02,25,79,118,29.04,85.35,387.71,Cotton,Flowering,Urea,,
5.69,142,13,102,37.2,42.49,2387.51,Rice,Sowing,DAP,,
7.62,111,67,67,36.99,66.7,609.31,Tomato,Vegetative,NPK,,
6.39,38,40,32,19.64,49.07,2625.81,Potato,Harvest,Urea,,
5.41,33,31,23,12.82,84.91,1362.92,Sugarcane,Harvest,Urea,,
5.16,84,36,82,29.38,40.16,980.09,Sugarcane,Vegetative,DAP,,
5.83,115,25,65,38.41,70.57,1604.25,Cotton,Vegetative,DAP,,
8.26,65,15,88,25.24,55.31,1895.32,Potato,Flowering,DAP,,
5.87,35,89,111,23.73,69.67,2164.32,Tomato,Sowing,Urea,,
8.45,127,16,34,35.92,39.46,1146.91,Rice,Harvest,DAP,,
6.44,158,23,29,22.74,53.62,2952.32,Wheat,Sowing,DAP,,
5.22,37,12,116,30.43,36.44,1382.4,Potato,Flowering,Urea,,
8.06,127,58,95,21.66,88.13,2536.51,Wheat,Sowing,Zinc Sulphate,,
6.34,88,45,80,21.31,42.84,297.63,Tomato,Flowering,SSP,,
7.34,139,38,27,15.63,89.59,2378.3,Sugarcane,Vegetative,DAP,,
8.43,107,13,26,12.65,55.11,1743.75,Sugarcane,Sowing,DAP,,
4.7,109,49,23,36.55,34.29,1990.95,Potato,Flowering,MOP,,
4.89,35,50,35,15.44,31.05,1244.06,Potato,Sowing,Urea,,
7.38,121,31,113,11.87,65.94,1725.55,Potato,Flowering,DAP,,
5.63,153,88,41,27.47,66.88,2810.22,Maize,Harvest,Compost,,
5.24,144,13,102,26.38,61.49,1280.9,Sugarcane,Harvest,DAP,,
4.66,139,32,113,27.03,33.98,496.14,Potato,Sowing,DAP,,
4.59,95,13,68,24.04,49.89,2217.44,Sugarcane,Vegetative,DAP,,
7.6,92,77,80,14.26,51.54,1614.46,Maize,Sowing,Zinc Sulphate,,
5.04,60,27,66,10.63,72.29,1389.84,Maize,Sowing,DAP,,
6.37,125,10,82,11.39,55.13,2377.89,Cotton,Flowering,DAP,,
6.92,140,41,21,38.29,64.38,1774.1,Potato,Harvest,MOP,,
6.21,108,30,12,25.96,47.18,1967.87,Sugarcane,Harvest,DAP,,
4.61,137,47,41,21.99,73.56,2793.01,Wheat,Sowing,Compost,,
7.63,85,35,106,22.32,32.81,363.83,Sugarcane,Harvest,DAP,,
4.54,65,50,24,29.57,89.31,934.67,Sugarcane,Sowing,MOP,,
7.55,127,58,18,21.3,68.49,2715.02,Potato,Flowering,MOP,,
8.07,23,50,58,33.89,38.93,2419.64,Tomato,Flowering,Urea,,
6.23,157,68,53,17.8,73.05,728.08,Rice,Sowing,DAP,,
6.64,114,13,90,21.02,77.19,673.53,Rice,Flowering,DAP,,
6.41,125,22,37,38.05,77.32,2510.38,Cotton,Harvest,DAP,,
6.06,99,70,54,17.81,46.24,1748.02,Wheat,Flowering,NPK,,
8.05,70,60,22,29.85,87.52,2608.95,Rice,Harvest,MOP,,
8.08,153,44,56,20.94,31.06,2769.52,Potato,Harvest,Zinc Sulphate,,
5.84,140,74,30,24.14,52.79,394.72,Potato,Flowering,MOP,,
6.96,23,58,59,11.36,36.25,2915.38,Tomato,Vegetative,Urea,,
8.21,110,58,56,15.02,53.09,2206.13,Wheat,Flowering,Zinc Sulphate,,
8.35,73,23,14,13.06,33.43,2536.5,Maize,Harvest,DAP,,
6.54,22,46,16,35.34,68.7,1964.94,Sugarcane,Flowering,Urea,,
6.31,49,39,47,38.85,33.75,1054.45,Cotton,Sowing,Urea,,
5.61,95,23,46,12.04,66.95,1878.41,Wheat,Flowering,DAP,,
8.34,60,84,92,12.31,44.05,1644.44,Potato,Flowering,Zinc Sulphate,,
5.07,125,36,114,26.57,40.75,2809.81,Rice,Flowering,DAP,,
6.82,78,71,41,25.12,50.82,1754.09,Sugarcane,Flowering,DAP,,
5.63,59,12,65,29.52,68.46,278.11,Sugarcane,Vegetative,Urea,,
5.62,64,79,52,32.1,64.69,2121.07,Sugarcane,Flowering,Compost,,
6.12,34,48,76,33.92,70.83,341.51,Potato,Harvest,Urea,,
8.5,36,28,112,14.47,85.14,2843.2,Tomato,Sowing,Urea,,
4.72,127,85,108,11.14,42.2,1562.46,Cotton,Harvest,Compost,,
6.81,44,48,36,36.67,54.8,2910.42,Tomato,Vegetative,Urea,,
4.83,62,19,111,24.09,45.95,272.42,Maize,Vegetative,DAP,,
5.12,80,56,60,39.14,65.18,1691.98,Sugarcane,Flowering,Compost,,
6.26,150,32,57,25.98,47,833.38,Sugarcane,Harvest,DAP,,
6.54,47,68,81,25.3,63.48,1994.08,Sugarcane,Sowing,Urea,,
5.54,126,29,62,28.69,79.39,1594.99,Maize,Vegetative,DAP,,
5.77,143,54,92,15.1,63.06,1785.15,Rice,Harvest,Zinc Sulphate,,
4.85,103,53,103,17.62,80.29,1206.99,Potato,Harvest,Compost,,
5.71,46,27,57,37.17,66.68,344.32,Tomato,Harvest,Urea,,
8.37,102,57,113,16.37,82.22,497.07,Wheat,Flowering,Zinc Sulphate,,
8.28,119,84,19,16.99,85.83,2603.97,Sugarcane,Flowering,MOP,,
5.84,95,10,103,25.3,60.47,2167.76,Sugarcane,Flowering,DAP,,
6.78,54,41,18,29.23,77.44,2354.31,Rice,Sowing,Urea,,
8.14,116,73,95,10.03,58.13,543.47,Maize,Vegetative,Zinc Sulphate,,
4.52,119,16,104,23.7,72.31,337.88,Potato,Vegetative,DAP,,
7.74,32,80,55,21.97,32.25,248.37,Potato,Flowering,Urea,,
8.29,25,55,19,35.97,88.01,1661.08,Tomato,Flowering,Urea,,
4.87,93,33,45,35.19,83.66,1602.51,Maize,Harvest,DAP,,
5.15,29,78,19,37.18,83.6,509.81,Wheat,Vegetative,Urea,,
8.34,40,45,36,35.26,46.88,1170.54,Tomato,Flowering,Urea,,
6.65,146,76,88,33.6,46.99,1684.6,Maize,Harvest,MOP,,
4.56,75,59,28,35.77,54.16,2092.28,Maize,Flowering,MOP,,
5.53,76,68,20,15.24,82.81,2468,Rice,Sowing,MOP,,
6.3,149,67,41,20.23,81.52,1995.89,Rice,Vegetative,NPK,,
7.27,58,55,29,30.51,47.37,284.02,Rice,Sowing,Urea,,
7.43,80,79,55,37.69,62.51,1841.06,Wheat,Flowering,SSP,,
8.48,129,32,69,30.01,58.51,446.18,Maize,Flowering,DAP,,
